Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
Q9HBG6	Intraflagellar transport protein 122 homolog	IFT122	141.82	15.355	1.5	1	1	1					
Q9HBH0	Rho-related GTP-binding protein RhoF	RHOF	23.625	12.159	19.4	4	4	4					
Q9HBH1	Peptide deformylase, mitochondrial	PDF	27.013	50.363	33.7	5	5	5	1.038	0.962	1.004	1.078	3.40E-01
Q9HBH5	Retinol dehydrogenase 14	RDH14	36.864000000000004	4.1201	6.5	2	2	2	1.214	0.871	0.896	1.394	
Q9HBI1	Beta-parvin	PARVB	41.714	3.6936	8.0	3	1	1					
Q9HBL0	Tensin-1	TNS1	185.7	70.285	7.4	10	9	16	1.129	1.03	0.81	1.097	2.25E-01
Q9HBL7	Plasminogen receptor (KT)	PLGRKT	17.201	3.5747	8.8	1	1	1	1.315	0.842	0.811	1.562	
Q9HBL8	NmrA-like family domain-containing protein 1	NMRAL1	33.344	28.070999999999998	25.1	9	9	13	0.676	1.18	1.192	0.573	6.20E-11
Q9HBM1	Kinetochore protein Spc25	SPC25	26.151999999999997	7.0	13.8	3	3	4	0.887	1.04	1.088	0.852	8.47E-03
Q9HBM6	Transcription initiation factor TFIID subunit 9B	TAF9B	27.622	14.841	23.5	6	6	7	1.021	0.978	0.991	1.044	5.49E-02
Q9HBR0	Putative sodium-coupled neutral amino acid transporter 10	SLC38A10	119.76	10.307	4.5	4	4	4					
Q9HC07	Transmembrane protein 165	TMEM165	34.905	8.2363	10.2	2	2	2	1.258	0.991	0.723	1.269	1.19E-01
Q9HC21	Mitochondrial thiamine pyrophosphate carrier	SLC25A19	35.510999999999996	6.751	8.4	3	3	3					
Q9HC35	Echinoderm microtubule-associated protein-like 4	EML4	108.91	52.92100000000001	11.6	10	10	15	0.762	1.092	1.185	0.698	7.72E-03
Q9HC36	RNA methyltransferase-like protein 1	RNMTL1	47.019	8.7178	12.1	4	4	6	1.174	0.989	0.804	1.187	4.70E-02
Q9HC38	Glyoxalase domain-containing protein 4	GLOD4	34.793	81.388	30.7	9	9	15	0.688	1.148	1.229	0.599	6.33E-10
Q9HC52	Chromobox protein homolog 8	CBX8	43.395	15.886	13.9	5	5	7	1.16	0.903	0.93	1.286	2.85E-05
Q9HCC0	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	MCCC2	61.332	61.001999999999995	17.6	10	10	17	1.133	0.936	0.901	1.211	6.90E-05
Q9HCD5	Nuclear receptor coactivator 5	NCOA5	65.536	66.339	22.3	11	11	15	1.158	0.836	0.986	1.384	1.29E-07
Q9HCD6	Protein TANC2	TANC2	219.65	29.865	3.6	6	6	6	1.085	1.153	0.753	0.941	
Q9HCE1	Putative helicase MOV-10	MOV10	113.67	57.817	15.5	14	14	20	1.068	0.942	0.953	1.133	1.10E-01
Q9HCE5	N6-adenosine-methyltransferase subunit METTL14	METTL14	52.15	4.8705	4.4	2	2	2	0.856	1.103	1.065	0.776	
Q9HCG8	Pre-mRNA-splicing factor CWC22 homolog	CWC22	105.47	4.8583	3.0	2	2	2	1.084	0.895	1.02	1.211	
Q9HCH0	Nck-associated protein 5-like	NCKAP5L	139.01	9.9686	1.0	1	1	1					
Q9HCJ3	Ribonucleoprotein PTB-binding 2	RAVER2	74.33800000000001	2.5659	1.6	1	1	1					
Q9HCM4	Band 4.1-like protein 5	EPB41L5	81.855	2.9611	1.6	1	1	1	1.174	0.87	0.943	1.349	
Q9HCN4	GPN-loop GTPase 1	GPN1	41.74	22.206	6.7	3	3	4	0.85	1.053	1.121	0.807	8.10E-02
Q9HCN8	Stromal cell-derived factor 2-like protein 1	SDF2L1	23.598000000000003	17.928	15.8	4	4	8	1.277	0.911	0.784	1.403	4.51E-03
Q9HCP0	Casein kinase I isoform gamma-1	CSNK1G1	48.511	6.763	6.4	3	2	2	1.163	0.979	0.843	1.188	
Q9HCS7	Pre-mRNA-splicing factor SYF1	XAB2	100.01	21.529	8.0	9	9	9	0.959	0.914	1.084	1.05	4.48E-01
Q9HCU5	Prolactin regulatory element-binding protein	PREB	45.468	38.008	24.5	8	8	10	1.08	1.001	0.916	1.079	6.32E-02
Q9HCU8	DNA polymerase delta subunit 4	POLD4	12.433	1.6548	14.0	1	1	1					
Q9HCY8	Protein S100-A14	S100A14	11.662	7.5261	10.6	1	1	3	1.285	0.929	0.792	1.383	3.64E-04
Q9HD15	Steroid receptor RNA activator 1	SRA1	25.673000000000002	18.28	18.2	4	4	6	0.764	1.113	1.159	0.686	3.94E-02
Q9HD20	Manganese-transporting ATPase 13A1	ATP13A1	132.95	31.489	9.2	11	11	11	1.228	0.987	0.86	1.245	2.13E-02
Q9HD23	Magnesium transporter MRS2 homolog, mitochondrial	MRS2	50.317	2.1042	2.3	1	1	1					
Q9HD26	Golgi-associated PDZ and coiled-coil motif-containing protein	GOPC	50.519	23.553	19.5	10	10	11	1.029	0.994	1.021	1.035	6.54E-01
Q9HD33	39S ribosomal protein L47, mitochondrial	MRPL47	29.45	53.285	30.4	8	8	10	1.246	0.894	0.82	1.395	1.55E-05
Q9HD42	Charged multivesicular body protein 1a	CHMP1A	21.703000000000003	6.4902	17.9	4	4	4	0.738	1.204	1.095	0.613	1.83E-02
Q9HD45	Transmembrane 9 superfamily member 3	TM9SF3	67.887	23.514	8.7	4	4	5	1.298	0.87	0.797	1.492	1.28E-05
Q9HD47	Ran guanine nucleotide release factor	RANGRF	20.448	4.9155	12.4	2	2	2	0.973	0.99	1.048	0.983	
Q9HDC5	Junctophilin-1	JPH1	71.685	2.7993	2.1	1	1	1					
Q9HDC9	Adipocyte plasma membrane-associated protein	APMAP	46.48	42.659	26.2	9	9	11	1.162	0.893	0.934	1.301	4.56E-05
Q9NNW5	WD repeat-containing protein 6	WDR6	121.72	2.3094	1.7	2	2	2	0.804	1.179	1.046	0.682	
Q9NNW7	Thioredoxin reductase 2, mitochondrial	TXNRD2	56.506	30.17	17.4	9	8	9	1.088	1.006	0.892	1.082	5.98E-02
Q9NNX1	Tuftelin	TUFT1	44.263000000000005	1.8424	3.8	2	2	2					
Q9NP50	Protein FAM60A	FAM60A	24.851999999999997	2.0602	9.5	1	1	1	1.053	0.949	1.0	1.11	
Q9NP58	ATP-binding cassette sub-family B member 6, mitochondrial	ABCB6	93.884	74.434	8.7	4	4	4	1.074	0.966	0.957	1.111	5.28E-01
Q9NP61	ADP-ribosylation factor GTPase-activating protein 3	ARFGAP3	56.928000000000004	4.3266	3.7	2	2	2	0.831	1.15	1.046	0.723	
Q9NP66	High mobility group protein 20A	HMG20A	40.143	39.372	16.1	4	4	4	1.026	0.904	1.077	1.134	3.19E-01
Q9NP72	Ras-related protein Rab-18	RAB18	22.976999999999997	39.071	41.7	8	8	14	1.099	0.96	0.936	1.144	4.08E-03
Q9NP74	Palmdelphin	PALMD	62.757	2.2633	1.6	1	1	1					
Q9NP77	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	SSU72	22.574	28.616999999999997	34.0	5	5	7	0.982	1.038	0.995	0.945	3.71E-01
Q9NP79	Vacuolar protein sorting-associated protein VTA1 homolog	VTA1	33.879	47.348	15.6	4	4	5	0.865	1.15	1.006	0.752	1.48E-01
Q9NP80	Calcium-independent phospholipase A2-gamma	PNPLA8	88.476	5.0233	3.6	3	2	2	1.075	0.987	0.936	1.089	
Q9NP81	Serine--tRNA ligase, mitochondrial	SARS2	58.282	62.57899999999999	31.1	12	12	16	1.205	0.874	0.939	1.379	9.96E-05
Q9NP87	DNA-directed DNA/RNA polymerase mu	POLM	54.815	13.857000000000001	2.6	1	1	1	1.008	1.021	0.977	0.987	
Q9NP92	28S ribosomal protein S30, mitochondrial	MRPS30	50.364	12.784	16.2	4	4	5	1.195	0.867	0.923	1.378	6.21E-02
Q9NPA0	ER membrane protein complex subunit 7	EMC7	26.47	2.4234	5.4	1	1	1					
Q9NPA3	Mid1-interacting protein 1	MID1IP1	20.201	1.5964	4.4	1	1	2	0.589	1.312	1.154	0.449	
Q9NPA8	Transcription and mRNA export factor ENY2	ENY2	11.527999999999999	2.5133	19.8	2	2	3					
Q9NPD3	Exosome complex component RRP41	EXOSC4	26.383000000000003	12.519	24.9	6	6	6	1.029	0.933	1.066	1.103	1.05E-01
Q9NPD8	Ubiquitin-conjugating enzyme E2 T	UBE2T	22.521	34.580999999999996	36.5	5	5	7	0.692	1.055	1.336	0.656	8.69E-03
Q9NPE2	Neugrin	NGRN	32.407	3.2198	6.5	2	2	2	1.133	0.888	0.971	1.276	
Q9NPE3	H/ACA ribonucleoprotein complex subunit 3	NOP10	7.7059	22.664	51.6	3	3	5	1.113	1.037	0.84	1.073	6.38E-01
Q9NPF4	Probable tRNA N6-adenosine threonylcarbamoyltransferase	OSGEP	36.426	15.869000000000002	10.7	3	3	4	0.824	1.045	1.161	0.789	
Q9NPF5	DNA methyltransferase 1-associated protein 1	DMAP1	52.992	16.215	15.0	7	7	8	1.104	0.956	0.946	1.155	2.28E-01
Q9NPG3	Ubinuclein-1	UBN1	121.52	14.329	3.0	3	3	3	1.15	0.865	0.974	1.329	7.53E-04
Q9NPI1	Bromodomain-containing protein 7	BRD7	74.138	11.138	3.8	2	2	2	1.109	1.069	0.812	1.037	3.90E-01
Q9NPI6	mRNA-decapping enzyme 1A	DCP1A	63.309	5.0955	4.1	2	2	2					
Q9NPJ3	Acyl-coenzyme A thioesterase 13	ACOT13	14.96	22.816999999999997	25.0	3	3	10	1.066	0.942	0.986	1.131	2.15E-02
Q9NPJ6	Mediator of RNA polymerase II transcription subunit 4	MED4	29.745	21.994	23.7	5	5	6	0.968	1.017	1.026	0.952	4.35E-01
Q9NPJ8	NTF2-related export protein 2	NXT2	16.227999999999998	10.949000000000002	16.9	2	2	3	1.121	0.854	1.019	1.313	
Q9NPL8	Complex I assembly factor TIMMDC1, mitochondrial	TIMMDC1	32.177	19.817	17.9	3	3	4	1.247	0.903	0.803	1.381	1.42E-03
Q9NPQ8	Synembryn-A	RIC8A	59.708999999999996	30.613000000000003	16.2	5	5	6	0.734	1.202	1.103	0.611	3.30E-05
Q9NQ29	Putative RNA-binding protein Luc7-like 1	LUC7L	43.727	8.0533	15.1	6	2	2	1.161	0.972	0.853	1.194	3.39E-01
Q9NQ39	Putative 40S ribosomal protein S10-like	RPS10P5	20.12	2.8315	35.8	9	1	1	0.452	0.524	2.121	0.863	
Q9NQ48	Leucine zipper transcription factor-like protein 1	LZTFL1	34.592	36.556	19.7	5	5	7	0.784	1.151	1.072	0.681	2.45E-05
Q9NQ50	39S ribosomal protein L40, mitochondrial	MRPL40	24.49	27.835	23.3	4	4	5	1.333	0.88	0.753	1.516	1.22E-02
Q9NQ55	Suppressor of SWI4 1 homolog	PPAN	53.193000000000005	6.0235	5.7	3	3	3	1.485	0.614	0.853	2.419	
Q9NQ86	E3 ubiquitin-protein ligase TRIM36	TRIM36	83.01299999999999	4.4785	5.2	3	3	3	0.932	1.062	1.021	0.878	
Q9NQ88	Fructose-2,6-bisphosphatase TIGAR	TIGAR	30.061999999999998	23.755	19.3	4	4	5	0.824	1.114	1.144	0.739	2.47E-02
Q9NQ92	Coordinator of PRMT5 and differentiation stimulator	COPRS	20.066	9.7533	6.5	1	1	1	0.87	1.052	1.101	0.827	
Q9NQC3	Reticulon-4	RTN4	129.93	19.824	7.5	6	6	9	1.155	0.923	0.852	1.251	2.04E-02
Q9NQE9	Histidine triad nucleotide-binding protein 3	HINT3	20.361	38.986	17.6	4	4	6					
Q9NQG5	Regulation of nuclear pre-mRNA domain-containing protein 1B	RPRD1B	36.899	73.84100000000001	27.9	7	7	10	1.009	0.972	1.022	1.038	8.23E-01
Q9NQH7	Probable Xaa-Pro aminopeptidase 3	XPNPEP3	57.033	2.917	2.2	1	1	1	1.142	0.94	0.908	1.215	
Q9NQP4	Prefoldin subunit 4	PFDN4	15.314	32.229	20.1	2	2	3	0.764	1.11	1.162	0.688	6.58E-02
Q9NQR4	Omega-amidase NIT2	NIT2	30.608	144.47	56.9	14	14	17	0.662	1.145	1.15	0.578	9.06E-09
Q9NQS1	Cell death regulator Aven	AVEN	38.506	6.1738	10.2	3	3	3	0.818	1.113	1.098	0.735	3.70E-02
Q9NQS7	Inner centromere protein	INCENP	105.43	11.408	6.0	5	5	7	0.705	0.757	1.598	0.931	9.31E-01
Q9NQT4	Exosome complex component RRP46	EXOSC5	25.249000000000002	6.5954	13.2	3	3	4					
Q9NQT5	Exosome complex component RRP40	EXOSC3	29.572	4.7994	8.4	2	2	2	1.085	0.996	0.914	1.089	
Q9NQT8	Kinesin-like protein KIF13B	KIF13B	202.79	17.95	3.0	5	3	3					
Q9NQW6	Actin-binding protein anillin	ANLN	124.2	76.406	21.3	23	23	29	0.766	0.748	1.576	1.024	6.88E-01
Q9NQW7	Xaa-Pro aminopeptidase 1	XPNPEP1	69.917	76.97800000000001	20.5	10	10	16	0.783	1.145	1.147	0.684	8.79E-08
Q9NQX3	Gephyrin	GPHN	79.748	26.432	5.4	4	4	4	0.771	1.124	1.14	0.686	6.13E-04
Q9NQX4	Unconventional myosin-Vc	MYO5C	202.81	2.3247	1.7	3	2	2	1.057	0.947	0.997	1.116	
Q9NQY0	Bridging integrator 3	BIN3	29.665	15.734000000000002	11.9	3	3	4	0.95	1.1	0.962	0.864	1.46E-02
Q9NQZ2	Something about silencing protein 10	UTP3	54.556999999999995	1.7235	2.7	1	1	1					
Q9NQZ5	StAR-related lipid transfer protein 7, mitochondrial	STARD7	43.113	5.5120000000000005	4.9	2	2	3	1.056	0.973	0.971	1.085	
Q9NR09	Baculoviral IAP repeat-containing protein 6	BIRC6	530.25	52.50899999999999	3.0	13	13	16	0.895	1.099	1.11	0.814	1.78E-02
Q9NR12	PDZ and LIM domain protein 7	PDLIM7	49.843999999999994	20.016	19.5	8	8	10	0.916	1.06	1.123	0.864	3.18E-02
Q9NR19	Acetyl-coenzyme A synthetase, cytoplasmic	ACSS2	78.579	18.090999999999998	8.6	6	6	7	0.812	1.112	1.127	0.73	1.30E-02
Q9NR28	Diablo homolog, mitochondrial	DIABLO	27.131	28.489	18.8	4	4	6	1.071	0.991	0.906	1.081	7.16E-01
Q9NR30	Nucleolar RNA helicase 2	DDX21	87.34299999999999	257.46	36.9	30	28	60	1.218	0.881	0.896	1.383	1.33E-21
Q9NR31	GTP-binding protein SAR1a	SAR1A	22.366999999999997	54.733999999999995	46.5	12	8	14	1.061	1.009	0.91	1.052	4.11E-01
Q9NR33	DNA polymerase epsilon subunit 4	POLE4	12.209000000000001	11.765	17.9	2	2	3	0.858	1.054	1.114	0.814	
Q9NR45	Sialic acid synthase	NANS	40.306999999999995	162.0	46.0	15	15	32	0.711	1.146	1.188	0.62	3.57E-17
Q9NR46	Endophilin-B2	SH3GLB2	43.973	47.117	26.8	12	12	21	0.867	1.063	1.083	0.816	2.06E-08
Q9NR50	Translation initiation factor eIF-2B subunit gamma	EIF2B3	50.24	26.982	17.5	8	8	9	0.858	1.116	1.012	0.769	1.27E-01
Q9NR56	Muscleblind-like protein 1	MBNL1	41.817	21.219	21.1	7	3	4	0.949	0.97	1.096	0.978	
Q9NRC1	Suppressor of tumorigenicity 7 protein	ST7	67.166	5.6338	2.6	1	1	1					
Q9NRF8	CTP synthase 2	CTPS2	65.67699999999999	25.041	15.2	9	8	9	0.876	1.066	1.068	0.821	2.15E-03
Q9NRF9	DNA polymerase epsilon subunit 3	POLE3	16.859	2.1308	7.5	1	1	1					
Q9NRG0	Chromatin accessibility complex protein 1	CHRAC1	14.71	21.548000000000002	13.7	1	1	1					
Q9NRG1	Phosphoribosyltransferase domain-containing protein 1	PRTFDC1	25.673000000000002	4.6532	13.3	3	2	2	0.866	1.027	1.132	0.843	
Q9NRG4	N-lysine methyltransferase SMYD2	SMYD2	49.688	4.9116	4.8	2	2	2	0.692	1.04	1.317	0.665	
Q9NRG7	Epimerase family protein SDR39U1	SDR39U1	34.747	2.1432	2.8	1	1	1					
Q9NRG9	Aladin	AAAS	59.573	34.358000000000004	9.5	5	5	5	1.18	0.858	0.97	1.374	4.07E-04
Q9NRK6	ATP-binding cassette sub-family B member 10, mitochondrial	ABCB10	79.14699999999999	19.629	9.1	6	6	6	1.068	0.896	1.037	1.193	8.78E-02
Q9NRL2	Bromodomain adjacent to zinc finger domain protein 1A	BAZ1A	178.7	14.378	4.7	8	8	9	1.196	0.783	1.008	1.527	3.57E-03
Q9NRL3	Striatin-4	STRN4	80.595	11.627	5.7	4	3	3	0.939	1.001	1.076	0.938	
Q9NRM2	Zinc finger protein 277	ZNF277	52.787	1.6623	2.2	1	1	1	0.912	1.076	1.029	0.848	
Q9NRN7	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	35.775999999999996	9.8728	10.4	3	3	4	0.732	1.217	1.112	0.601	8.50E-03
Q9NRP0	Oligosaccharyltransferase complex subunit OSTC	OSTC	16.829	14.225999999999999	8.1	1	1	2	1.451	0.876	0.621	1.655	3.73E-03
Q9NRP2	COX assembly mitochondrial protein 2 homolog	CMC2	9.4598	11.675999999999998	48.1	5	5	10	1.079	0.957	0.962	1.127	6.71E-01
Q9NRR5	Ubiquilin-4	UBQLN4	63.852	47.043	17.8	7	5	6	0.998	0.965	1.038	1.034	6.52E-01
Q9NRS6	Sorting nexin-15	SNX15	38.291	6.9515	5.6	2	2	2					
Q9NRV9	Heme-binding protein 1	HEBP1	21.096999999999998	47.001000000000005	39.7	8	8	11	0.911	1.004	1.097	0.907	3.06E-03
Q9NRW1	Ras-related protein Rab-6B	RAB6B	23.461	-2.0	29.3	6	1	1	1.244	0.956	0.774	1.301	
Q9NRW7	Vacuolar protein sorting-associated protein 45	VPS45	65.07600000000001	22.68	13.0	8	8	9	1.026	0.975	0.956	1.052	9.75E-01
Q9NRX1	RNA-binding protein PNO1	PNO1	27.924	6.7579	7.9	1	1	1					
Q9NRX2	39S ribosomal protein L17, mitochondrial	MRPL17	20.05	4.5004	16.0	4	4	4	1.197	0.944	0.841	1.269	1.05E-02
Q9NRX4	14 kDa phosphohistidine phosphatase	PHPT1	13.832	37.058	33.6	4	4	5	0.631	1.168	1.176	0.54	8.05E-03
Q9NRY2	SOSS complex subunit C	INIP	11.425	13.331	12.5	1	1	2	1.023	0.958	1.023	1.068	4.88E-02
Q9NRY4	Rho GTPase-activating protein 35	ARHGAP35	170.51	14.359000000000002	3.1	5	5	7	0.808	1.201	1.053	0.673	1.81E-03
Q9NRY5	Protein FAM114A2	FAM114A2	55.468	2.4256	1.8	1	1	1	0.87	1.085	1.068	0.802	
Q9NRZ9	Lymphoid-specific helicase	HELLS	97.073	51.431000000000004	16.5	12	12	14	0.969	0.943	1.088	1.028	4.44E-02
Q9NS69	Mitochondrial import receptor subunit TOM22 homolog	TOMM22	15.520999999999999	15.758	16.2	2	2	4	1.303	0.912	0.753	1.429	2.59E-02
Q9NS73	MAP3K12-binding inhibitory protein 1	MBIP	39.281	2.2858	3.2	1	1	1					
Q9NS86	LanC-like protein 2	LANCL2	50.854	11.955	6.7	2	2	2					
Q9NS87	Kinesin-like protein KIF15	KIF15	160.16	23.776	7.2	10	10	11	0.78	1.096	1.15	0.711	1.37E-02
Q9NS91	E3 ubiquitin-protein ligase RAD18	RAD18	56.222	10.241	6.3	3	3	3	0.925	0.898	1.199	1.031	5.84E-01
Q9NSC5	Homer protein homolog 3	HOMER3	39.836	2.1476	2.8	1	1	1	1.006	0.899	1.105	1.119	
Q9NSD9	Phenylalanine--tRNA ligase beta subunit	FARSB	66.115	59.222	29.2	17	17	21	0.986	1.0	1.034	0.986	8.93E-02
Q9NSE4	Isoleucine--tRNA ligase, mitochondrial	IARS2	113.79	123.08	27.1	24	24	41	1.206	0.9	0.882	1.34	5.29E-17
Q9NSG2	Uncharacterized protein C1orf112	C1orf112	96.553	6.0312	3.9	2	2	2					
Q9NSI2	Protein FAM207A	FAM207A	25.456	7.6179	6.1	1	1	1					
Q9NSI6	Bromodomain and WD repeat-containing protein 1	BRWD1	262.93	5.0329	1.4	3	1	1	1.19	0.822	0.974	1.448	
Q9NSK0	Kinesin light chain 4	KLC4	68.639	60.196000000000005	24.6	13	10	11	0.888	1.168	1.012	0.76	1.24E-03
Q9NSU2	Three-prime repair exonuclease 1	TREX1	38.923	8.7292	5.7	2	2	2	0.992	1.079	0.935	0.919	
Q9NSV4	Protein diaphanous homolog 3	DIAPH3	136.92	19.632	5.6	6	6	7	0.768	0.972	1.3	0.789	1.00E-01
Q9NSY1	BMP-2-inducible protein kinase	BMP2K	129.17	5.9967	2.9	2	2	2					
Q9NT62	Ubiquitin-like-conjugating enzyme ATG3	ATG3	35.864000000000004	33.498000000000005	22.6	6	6	11	0.727	1.178	1.112	0.617	1.08E-07
Q9NTG7	NAD-dependent protein deacetylase sirtuin-3, mitochondrial	SIRT3	43.573	13.597999999999999	5.5	2	2	2	1.044	0.942	1.018	1.109	4.57E-01
Q9NTI5	Sister chromatid cohesion protein PDS5 homolog B	PDS5B	164.67	97.587	16.6	21	20	22	1.188	0.878	0.922	1.353	3.57E-08
Q9NTJ3	Structural maintenance of chromosomes protein 4	SMC4	147.18	136.37	30.3	40	40	57	0.887	1.002	1.168	0.886	3.78E-05
Q9NTJ5	Phosphatidylinositide phosphatase SAC1	SACM1L	66.96600000000001	66.23899999999999	12.4	7	7	9	1.176	0.882	0.936	1.333	1.03E-03
Q9NTK5	Obg-like ATPase 1	OLA1	44.743	53.736999999999995	22.2	9	9	17	0.793	1.139	1.068	0.696	3.65E-09
Q9NTX5	Ethylmalonyl-CoA decarboxylase	ECHDC1	33.698	50.918	33.6	9	9	10	0.903	1.172	0.946	0.771	1.82E-06
Q9NTZ6	RNA-binding protein 12	RBM12	97.39399999999999	100.99	17.2	18	18	28	0.913	0.997	1.115	0.916	3.00E-05
Q9NU22	Midasin	MDN1	632.81	127.06	4.6	21	21	24	1.136	0.935	0.927	1.215	1.59E-10
Q9NUI1	Peroxisomal 2,4-dienoyl-CoA reductase	DECR2	30.776999999999997	29.252	35.6	11	11	13	1.219	0.878	0.856	1.389	8.88E-06
Q9NUJ1	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	ABHD10	33.931999999999995	51.766999999999996	22.5	5	5	6	1.124	0.988	0.923	1.138	3.25E-02
Q9NUJ3	T-complex protein 11-like protein 1	TCP11L1	57.034	47.342	8.3	4	4	6	0.716	1.221	1.071	0.586	2.51E-03
Q9NUK0	Muscleblind-like protein 3	MBNL3	38.531	2.6599	7.6	3	1	1	1.022	0.967	1.017	1.057	
Q9NUL3	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	62.64	20.236	13.0	6	6	7	1.056	0.965	0.912	1.094	1.45E-01
Q9NUL7	Probable ATP-dependent RNA helicase DDX28	DDX28	59.58	11.315	10.9	6	6	6	1.33	0.746	0.895	1.783	3.60E-02
Q9NUP1	Biogenesis of lysosome-related organelles complex 1 subunit 4	BLOC1S4	23.351	2.0887	4.1	1	1	1					
Q9NUP7	tRNA:m(4)X modification enzyme TRM13 homolog	TRMT13	54.246	3.7271	4.4	2	2	2					
Q9NUQ2	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	AGPAT5	42.071999999999996	10.094	10.7	5	5	5	1.171	0.997	0.817	1.175	
Q9NUQ3	Gamma-taxilin	TXLNG	60.585	23.485	20.8	10	8	10	0.984	0.968	1.073	1.017	5.86E-01
Q9NUQ6	SPATS2-like protein	SPATS2L	61.728	65.872	21.3	10	10	14	1.15	1.076	0.761	1.069	1.23E-02
Q9NUQ7	Ufm1-specific protease 2	UFSP2	53.261	2.0014	2.6	1	1	1					
Q9NUQ8	ATP-binding cassette sub-family F member 3	ABCF3	79.744	131.54	23.0	12	12	15	0.814	1.096	1.093	0.743	3.85E-04
Q9NUQ9	Protein FAM49B	FAM49B	36.748000000000005	73.657	32.4	10	10	17	0.791	1.18	1.024	0.671	3.71E-08
Q9NUT2	ATP-binding cassette sub-family B member 8, mitochondrial	ABCB8	79.988	12.876	5.2	3	2	2	1.167	0.906	0.915	1.289	8.35E-02
Q9NUU7	ATP-dependent RNA helicase DDX19A	DDX19A	53.974	81.984	31.8	13	3	4	0.78	1.157	1.057	0.674	2.54E-02
Q9NUW8	Tyrosyl-DNA phosphodiesterase 1	TDP1	68.42	8.9152	6.9	3	3	3	0.877	1.109	1.035	0.791	
Q9NUX5	Protection of telomeres protein 1	POT1	71.441	8.5103	2.2	1	1	1	0.957	1.03	1.025	0.929	
Q9NV06	DDB1- and CUL4-associated factor 13	DCAF13	51.402	23.458000000000002	15.5	6	6	7	1.214	1.156	0.603	1.05	9.97E-01
Q9NV31	U3 small nucleolar ribonucleoprotein protein IMP3	IMP3	21.85	13.605	25.5	4	4	5	1.23	0.981	0.766	1.253	2.15E-01
Q9NV35	Probable 8-oxo-dGTP diphosphatase NUDT15	NUDT15	18.609	1.774	6.7	1	1	1					
Q9NV56	MRG/MORF4L-binding protein	MRGBP	22.416999999999998	15.67	15.7	2	2	3	1.073	0.993	1.013	1.081	
Q9NV70	Exocyst complex component 1	EXOC1	101.98	10.977	4.7	4	4	5	1.028	0.985	0.991	1.043	3.21E-01
Q9NV88	Integrator complex subunit 9	INTS9	73.814	35.675	8.1	4	4	4	1.068	0.94	0.984	1.136	3.15E-02
Q9NVA1	Ubiquinol-cytochrome-c reductase complex assembly factor 1	UQCC1	34.6	2.0363	3.0	1	1	1					
Q9NVA2	Septin-11	SEPT11	49.398	54.751999999999995	25.4	10	3	4	0.896	1.052	1.083	0.852	1.63E-02
Q9NVC6	Mediator of RNA polymerase II transcription subunit 17	MED17	72.889	19.56	8.0	5	5	6	1.05	0.965	0.987	1.088	2.32E-01
Q9NVD7	Alpha-parvin	PARVA	42.243	48.905	20.4	7	5	6	0.887	1.136	0.956	0.781	1.54E-03
Q9NVE7	Pantothenate kinase 4	PANK4	85.99	9.2981	6.9	5	5	5	0.959	1.114	1.01	0.861	6.56E-01
Q9NVG8	TBC1 domain family member 13	TBC1D13	46.553000000000004	6.6370000000000005	4.8	2	2	3	0.671	1.21	1.178	0.555	3.19E-03
Q9NVH0	Exonuclease 3-5 domain-containing protein 2	EXD2	70.352	27.156	9.2	5	5	7	1.155	0.932	0.901	1.239	5.45E-02
Q9NVH1	DnaJ homolog subfamily C member 11	DNAJC11	63.277	49.456	17.0	10	10	13	1.11	0.984	0.854	1.127	5.04E-02
Q9NVH2	Integrator complex subunit 7	INTS7	106.83	26.781999999999996	5.5	5	5	5	1.04	0.964	0.945	1.079	2.23E-01
Q9NVI1	Fanconi anemia group I protein	FANCI	149.32	17.67	6.6	8	8	8	0.996	0.873	1.144	1.141	2.92E-01
Q9NVI7	ATPase family AAA domain-containing protein 3A	ATAD3A	71.368	107.79	35.3	21	5	12	1.133	0.984	0.844	1.151	1.14E-03
Q9NVJ2	ADP-ribosylation factor-like protein 8B	ARL8B	21.539	39.364000000000004	18.3	4	3	7	1.29	0.858	0.835	1.503	2.60E-03
Q9NVM4	Protein arginine N-methyltransferase 7	PRMT7	78.458	43.452	13.3	8	8	11	0.916	1.123	0.949	0.815	1.61E-02
Q9NVM6	DnaJ homolog subfamily C member 17	DNAJC17	34.687	12.107000000000001	10.9	3	3	3	0.81	1.218	0.999	0.665	
Q9NVM9	Protein asunder homolog	ASUN	80.22399999999999	14.618	10.5	7	7	8	0.999	0.97	1.039	1.03	
Q9NVN3	Synembryn-B	RIC8B	58.824	5.443	6.7	3	3	3	1.07	1.003	0.924	1.067	7.69E-01
Q9NVN8	Guanine nucleotide-binding protein-like 3-like protein	GNL3L	65.572	24.6	11.5	8	8	10	0.881	0.746	1.398	1.18	3.89E-03
